Customer_ID;Customer_Name;Gender;Age;City;Join_Date;Membership
C0001;Customer 1;Female;35;Surabaya;2023-03-27;Gold
C0002;Customer 2;Male;27;Semarang;2023-05-03;Silver
C0003;Customer 3;Male;43;Surabaya;2024-09-14;Gold
C0004;Customer 4;Female;47;Bandung;2023-01-24;Silver
C0005;Customer 5;Male;39;Surabaya;2024-04-11;Silver
C0006;Customer 6;Female;52;Bandung;2024-03-27;Gold
C0007;Customer 7;Male;22;Semarang;2023-03-03;Silver
C0008;Customer 8;Female;25;Jakarta;2024-03-13;Gold
C0009;Customer 9;Male;25;Bandung;2024-02-11;Platinum
C0010;Customer 10;Male;36;Surabaya;2024-12-21;Gold
C0011;Customer 11;Male;29;Jakarta;2023-11-30;Gold
C0012;Customer 12;Female;24;Semarang;2023-03-02;Platinum
C0013;Customer 13;Female;18;Semarang;2023-12-04;Silver
C0014;Customer 14;Female;56;Semarang;2023-01-05;Silver
C0015;Customer 15;Female;31;Bandung;2023-02-03;Platinum
C0016;Customer 16;Female;26;Surabaya;2023-06-23;Silver
C0017;Customer 17;Male;55;Jakarta;2023-11-26;Platinum
C0018;Customer 18;Male;22;Surabaya;2023-12-13;Platinum
C0019;Customer 19;Male;55;Surabaya;2024-02-26;Platinum
C0020;Customer 20;Female;26;Semarang;2023-10-27;Platinum
C0021;Customer 21;Female;31;Jakarta;2023-06-27;Gold
C0022;Customer 22;Female;38;Medan;2024-10-30;Gold
C0023;Customer 23;Female;40;Semarang;2023-08-23;Platinum
C0024;Customer 24;Male;49;Semarang;2024-05-20;Platinum
C0025;Customer 25;Male;51;Medan;2024-02-08;Platinum
C0026;Customer 26;Male;28;Surabaya;2024-07-26;Platinum
C0027;Customer 27;Female;48;Bandung;2024-01-13;Gold
C0028;Customer 28;Female;32;Bandung;2024-11-17;Platinum
C0029;Customer 29;Female;25;Surabaya;2023-01-09;Platinum
C0030;Customer 30;Male;36;Medan;2024-09-18;Silver
C0031;Customer 31;Male;59;Semarang;2024-09-23;Gold
C0032;Customer 32;Male;35;Semarang;2023-07-31;Gold
C0033;Customer 33;Male;27;Semarang;2024-10-08;Gold
C0034;Customer 34;Male;48;Surabaya;2023-04-08;Platinum
C0035;Customer 35;Female;45;Jakarta;2023-11-17;Gold
C0036;Customer 36;Male;48;Bandung;2023-04-23;Silver
C0037;Customer 37;Male;23;Semarang;2023-06-27;Silver
C0038;Customer 38;Female;21;Jakarta;2024-02-25;Platinum
C0039;Customer 39;Female;49;Bandung;2024-02-06;Gold
C0040;Customer 40;Male;58;Bandung;2023-06-30;Gold
C0041;Customer 41;Female;56;Jakarta;2024-07-17;Silver
C0042;Customer 42;Male;23;Jakarta;2023-05-27;Platinum
C0043;Customer 43;Male;43;Bandung;2023-08-24;Platinum
C0044;Customer 44;Female;55;Bandung;2024-10-07;Silver
C0045;Customer 45;Male;27;Jakarta;2023-03-27;Platinum
C0046;Customer 46;Female;24;Semarang;2024-10-17;Gold
C0047;Customer 47;Male;52;Jakarta;2023-01-01;Platinum
C0048;Customer 48;Male;45;Jakarta;2023-11-04;Silver
C0049;Customer 49;Female;24;Bandung;2024-09-08;Platinum
C0050;Customer 50;Male;47;Jakarta;2023-11-07;Gold
C0051;Customer 51;Female;22;Bandung;2023-09-28;Gold
C0052;Customer 52;Female;21;Jakarta;2024-09-22;Platinum
C0053;Customer 53;Female;57;Semarang;2023-09-16;Gold
C0054;Customer 54;Male;57;Medan;2024-04-06;Gold
