Order_ID;Customer_ID;Product_ID;Order_Date;Qty;Discount;Channel;Campaign
O00001;C0735;P044;2024-11-06;4;0,06;Shopee;11.11
O00002;C0698;P263;2024-04-15;4;0,33;App;None
O00003;C0568;P120;2025-04-21;3;0,27;Tokopedia;None
O00004;C0853;P131;2024-03-15;5;0,14;Website;Ramadhan
O00005;C0968;P167;2025-10-31;1;0,01;Shopee;12.12
O00006;C0098;P098;2024-05-11;1;0,14;App;None
O00007;C0782;P249;2025-05-18;1;0,15;Website;None
O00008;C0607;P229;2024-12-25;1;0,37;Tokopedia;12.12
O00009;C0666;P154;2025-10-31;2;0,02;Website;11.11
O00010;C0561;P097;2024-03-08;3;0,34;Tokopedia;12.12
O00011;C0298;P224;2024-01-18;3;0,38;Tokopedia;Ramadhan
O00012;C0045;P055;2025-02-19;4;0,4;Shopee;Ramadhan
O00013;C0219;P094;2025-08-04;5;0,1;App;None
O00014;C0646;P202;2025-07-31;1;0,3;Tokopedia;Ramadhan
O00015;C0065;P257;2024-08-08;1;0,15;App;11.11
O00016;C0317;P291;2024-07-29;5;0,01;Tokopedia;11.11
O00017;C0459;P126;2024-02-19;3;0,22;Website;None
O00018;C0300;P144;2024-05-03;3;0,05;Shopee;None
O00019;C0562;P109;2025-10-11;1;0,17;App;Ramadhan
O00020;C0547;P288;2025-09-01;3;0,3;Shopee;Ramadhan
O00021;C0944;P257;2025-07-14;3;0,14;Tokopedia;Ramadhan
O00022;C0099;P292;2024-01-13;5;0,38;Shopee;Ramadhan
O00023;C0848;P033;2024-02-20;5;0,04;Website;Ramadhan
O00024;C0100;P128;2025-02-17;1;0,08;Website;Ramadhan
O00025;C0067;P104;2025-12-02;5;0,14;Shopee;12.12
O00026;C0029;P047;2025-11-16;4;0,37;App;None
O00027;C0256;P253;2025-03-30;4;0,38;Shopee;11.11
O00028;C0015;P112;2024-02-15;4;0,33;Website;11.11
O00029;C0481;P258;2024-07-18;4;0,21;Tokopedia;None
O00030;C0270;P236;2025-06-11;4;0,13;Tokopedia;None
O00031;C0547;P136;2025-01-04;5;0,19;Tokopedia;Ramadhan
O00032;C0583;P133;2025-10-16;5;0,4;Website;None
O00033;C0507;P178;2025-11-21;3;0,21;Website;None
O00034;C0763;P013;2025-10-31;3;0;App;Ramadhan
O00035;C0022;P125;2024-06-27;2;0,32;App;11.11
O00036;C0919;P056;2024-05-24;1;0,1;Website;11.11
O00037;C0615;P031;2025-06-15;5;0,2;Tokopedia;11.11
O00038;C0816;P279;2024-07-04;1;0,21;Shopee;None
O00039;C0427;P224;2024-06-15;1;0,39;Shopee;12.12
O00040;C0337;P065;2025-01-31;1;0,21;Website;12.12
O00041;C0177;P271;2025-08-04;3;0,18;Website;None
O00042;C0529;P270;2025-10-28;2;0,33;App;Ramadhan
O00043;C0576;P235;2024-06-16;1;0,32;Website;11.11
O00044;C0741;P051;2024-12-18;4;0,07;App;Ramadhan
O00045;C0618;P185;2025-01-13;2;0,07;Website;Ramadhan
O00046;C0930;P021;2024-04-30;2;0,22;App;12.12
O00047;C0915;P113;2025-06-28;4;0,04;Tokopedia;Ramadhan
O00048;C0753;P244;2025-12-12;2;0,08;Tokopedia;12.12
O00049;C0633;P087;2025-08-27;2;0,31;Shopee;Ramadhan
O00050;C0473;P077;2025-11-18;1;0,29;Website;11.11
O00051;C0473;P046;2025-11-07;2;0,26;Website;12.12
O00052;C0689;P097;2024-02-03;5;0,22;Shopee;Ramadhan
O00053;C0885;P192;2025-04-05;1;0,33;Website;Ramadhan
O00054;C0768;P018;2024-03-21;1;0,35;Website;12.12
O00055;C0505;P180;2024-11-18;1;0,21;App;11.11
O00056;C0143;P101;2025-04-14;4;0,31;Shopee;Ramadhan
O00057;C0685;P152;2025-03-09;3;0,01;App;None
O00058;C0729;P021;2024-01-11;1;0,17;Website;12.12
O00059;C0858;P074;2025-08-03;5;0,08;Website;None
O00060;C0444;P257;2025-01-17;4;0,17;App;None
O00061;C0932;P286;2025-01-10;4;0,31;Website;None
O00062;C0739;P253;2025-05-20;5;0,3;Tokopedia;12.12
O00063;C0770;P062;2025-06-03;4;0,31;Tokopedia;Ramadhan
O00064;C0131;P222;2025-03-05;2;0,01;Shopee;12.12
O00065;C0590;P276;2025-04-02;3;0,34;Tokopedia;Ramadhan
O00066;C0579;P272;2024-04-04;3;0,14;Shopee;Ramadhan
O00067;C0437;P069;2025-06-16;1;0,32;App;11.11
O00068;C0285;P027;2025-11-12;5;0,31;Website;12.12
O00069;C0704;P095;2024-12-29;5;0,04;App;11.11
O00070;C0411;P050;2024-08-01;5;0,1;Shopee;12.12
O00071;C0894;P103;2025-02-12;3;0,06;Tokopedia;None
O00072;C0356;P168;2025-09-13;4;0,15;Shopee;None
O00073;C0209;P121;2025-10-02;3;0;Shopee;None
O00074;C0498;P001;2024-12-13;1;0,39;Website;12.12
O00075;C0378;P045;2025-07-26;1;0,36;Shopee;12.12
O00076;C0158;P063;2024-04-27;1;0,03;Website;Ramadhan
O00077;C0352;P072;2025-04-04;5;0,3;Website;12.12
O00078;C0969;P208;2025-04-14;4;0,2;App;11.11
O00079;C0954;P215;2024-02-13;5;0,12;Website;Ramadhan
O00080;C0594;P057;2025-01-30;4;0,32;Website;None
O00081;C0085;P187;2024-09-28;4;0,39;Website;12.12
O00082;C0443;P250;2025-01-02;3;0,29;App;11.11
O00083;C0536;P077;2025-01-07;2;0,27;App;12.12
O00084;C0642;P043;2024-06-29;5;0,38;Tokopedia;12.12
O00085;C0545;P225;2025-05-15;2;0,03;Website;Ramadhan
O00086;C0783;P039;2024-02-28;4;0,02;Tokopedia;None
O00087;C0602;P044;2025-07-20;4;0,03;Website;11.11
O00088;C0485;P173;2025-07-02;4;0,38;Shopee;None
O00089;C0354;P006;2025-12-16;1;0,2;App;12.12
O00090;C0315;P079;2025-12-06;4;0,29;Shopee;None
O00091;C0196;P077;2025-04-19;4;0,07;App;Ramadhan
O00092;C0495;P017;2024-09-15;5;0,16;App;12.12
O00093;C0478;P209;2024-05-27;5;0,17;Website;12.12
O00094;C0557;P187;2025-02-22;1;0,01;Website;None
O00095;C0808;P027;2025-06-18;5;0,33;App;12.12
O00096;C0375;P237;2025-04-21;2;0,25;Shopee;11.11
O00097;C0858;P065;2024-04-26;3;0,13;Tokopedia;Ramadhan
O00098;C0454;P104;2025-08-01;4;0,36;App;11.11
O00099;C0073;P123;2025-03-03;1;0,05;Shopee;None
O00100;C0084;P256;2024-09-06;5;0,11;Website;Ramadhan
O00101;C0086;P253;2025-05-16;5;0,38;Website;11.11
