Order_ID;Method;Status
O00001;E-Wallet;Failed
O00002;E-Wallet;Paid
O00003;Credit Card;Paid
O00004;QRIS;Paid
O00005;E-Wallet;Failed
O00006;QRIS;Paid
O00007;QRIS;Paid
O00008;E-Wallet;Paid
O00009;E-Wallet;Paid
O00010;COD;Failed
O00011;E-Wallet;Paid
O00012;Transfer;Paid
O00013;COD;Failed
O00014;Transfer;Failed
O00015;Transfer;Paid
O00016;COD;Failed
O00017;COD;Paid
O00018;Transfer;Paid
O00019;E-Wallet;Failed
O00020;COD;Paid
O00021;Transfer;Paid
O00022;Transfer;Paid
O00023;E-Wallet;Failed
O00024;Credit Card;Paid
O00025;Credit Card;Paid
O00026;COD;Paid
O00027;Transfer;Paid
O00028;E-Wallet;Failed
O00029;QRIS;Paid
O00030;QRIS;Paid
O00031;E-Wallet;Paid
O00032;QRIS;Paid
O00033;COD;Paid
O00034;E-Wallet;Paid
O00035;Transfer;Failed
O00036;QRIS;Paid
O00037;E-Wallet;Paid
O00038;COD;Paid
O00039;QRIS;Paid
O00040;E-Wallet;Paid
O00041;Credit Card;Paid
O00042;QRIS;Paid
O00043;E-Wallet;Paid
O00044;Credit Card;Paid
O00045;E-Wallet;Failed
O00046;Credit Card;Paid
O00047;QRIS;Failed
O00048;Transfer;Failed
O00049;E-Wallet;Failed
O00050;E-Wallet;Paid
O00051;E-Wallet;Paid
O00052;Transfer;Failed
O00053;QRIS;Paid
O00054;QRIS;Paid
O00055;E-Wallet;Paid
O00056;Transfer;Paid
O00057;COD;Paid
O00058;Credit Card;Paid
O00059;QRIS;Paid
O00060;COD;Failed
O00061;COD;Failed
O00062;Credit Card;Failed
O00063;E-Wallet;Paid
O00064;E-Wallet;Failed
O00065;Credit Card;Paid
O00066;COD;Failed
O00067;E-Wallet;Paid
O00068;Credit Card;Paid
O00069;QRIS;Failed
O00070;Transfer;Paid
O00071;COD;Paid
O00072;E-Wallet;Failed
O00073;QRIS;Failed
O00074;COD;Paid
O00075;QRIS;Failed
O00076;E-Wallet;Paid
O00077;QRIS;Failed
O00078;COD;Paid
O00079;COD;Paid
O00080;QRIS;Failed
O00081;QRIS;Paid
O00082;QRIS;Failed
O00083;Credit Card;Paid
O00084;COD;Paid
O00085;QRIS;Paid
O00086;COD;Paid
O00087;QRIS;Paid
O00088;Credit Card;Paid
O00089;COD;Paid
O00090;E-Wallet;Paid
O00091;E-Wallet;Paid
O00092;COD;Paid
O00093;Credit Card;Failed
O00094;E-Wallet;Paid
O00095;Transfer;Failed
O00096;E-Wallet;Paid
O00097;QRIS;Failed
O00098;COD;Failed
O00099;QRIS;Paid
O00100;COD;Paid
O00101;Credit Card;Paid
O00102;E-Wallet;Paid
O00103;Credit Card;Paid
O00104;E-Wallet;Failed
O00105;QRIS;Failed
O00106;E-Wallet;Paid
O00107;E-Wallet;Paid
O00108;E-Wallet;Paid
O00109;E-Wallet;Failed
O00110;COD;Paid
O00111;QRIS;Paid
O00112;Transfer;Paid
O00113;E-Wallet;Paid
O00114;QRIS;Paid
O00115;QRIS;Paid
O00116;E-Wallet;Paid
O00117;COD;Paid
O00118;E-Wallet;Failed
O00119;Credit Card;Paid
O00120;Credit Card;Paid
O00121;QRIS;Failed
O00122;E-Wallet;Failed
O00123;COD;Paid
O00124;Transfer;Paid
O00125;E-Wallet;Failed
O00126;Credit Card;Paid
O00127;Credit Card;Paid
O00128;QRIS;Paid
O00129;QRIS;Paid
O00130;E-Wallet;Failed
O00131;COD;Paid
O00132;Transfer;Failed
O00133;E-Wallet;Paid
O00134;E-Wallet;Failed
O00135;E-Wallet;Paid
O00136;Transfer;Failed
O00137;E-Wallet;Paid
O00138;Transfer;Paid
O00139;COD;Failed
O00140;COD;Failed
O00141;QRIS;Paid
O00142;E-Wallet;Paid
O00143;QRIS;Failed
O00144;COD;Paid
O00145;Transfer;Paid
O00146;COD;Paid
O00147;Credit Card;Paid
O00148;QRIS;Paid
O00149;QRIS;Paid
O00150;Credit Card;Paid
O00151;E-Wallet;Failed
O00152;QRIS;Failed
O00153;QRIS;Paid
O00154;Credit Card;Paid
O00155;Transfer;Paid
O00156;COD;Failed
O00157;E-Wallet;Paid
O00158;Credit Card;Paid
O00159;COD;Paid
O00160;COD;Paid
O00161;Credit Card;Paid
O00162;Transfer;Failed
O00163;Transfer;Paid
O00164;E-Wallet;Paid
O00165;E-Wallet;Paid
O00166;QRIS;Paid
O00167;QRIS;Paid
O00168;E-Wallet;Paid
O00169;E-Wallet;Paid
O00170;COD;Paid
O00171;QRIS;Failed
O00172;Transfer;Failed
O00173;COD;Paid
O00174;COD;Paid
O00175;E-Wallet;Paid
O00176;QRIS;Paid
O00177;COD;Paid
O00178;E-Wallet;Failed
O00179;Transfer;Paid
O00180;Credit Card;Paid
O00181;Transfer;Paid
O00182;Transfer;Paid
O00183;E-Wallet;Paid
O00184;Transfer;Paid
O00185;Credit Card;Failed
O00186;Credit Card;Paid
O00187;Credit Card;Paid
O00188;Transfer;Paid
O00189;COD;Paid
O00190;Transfer;Paid
O00191;E-Wallet;Paid
O00192;Transfer;Paid
O00193;Credit Card;Paid
O00194;QRIS;Paid
O00195;Credit Card;Paid
O00196;QRIS;Paid
O00197;E-Wallet;Paid
O00198;E-Wallet;Paid
O00199;E-Wallet;Paid
O00200;QRIS;Paid
O00201;QRIS;Failed
O00202;Credit Card;Failed
O00203;QRIS;Paid
O00204;QRIS;Paid
O00205;COD;Paid
O00206;E-Wallet;Paid
O00207;QRIS;Paid
O00208;Transfer;Paid
O00209;COD;Failed
O00210;E-Wallet;Paid
O00211;Credit Card;Paid
O00212;COD;Paid
O00213;Transfer;Paid
O00214;QRIS;Paid
O00215;Transfer;Paid
O00216;E-Wallet;Paid
O00217;QRIS;Paid
O00218;Transfer;Paid
O00219;QRIS;Paid
O00220;COD;Paid
O00221;E-Wallet;Paid
O00222;QRIS;Paid
O00223;COD;Paid
O00224;QRIS;Paid
O00225;QRIS;Failed
O00226;Transfer;Paid
O00227;Transfer;Paid
O00228;E-Wallet;Paid
O00229;COD;Paid
O00230;E-Wallet;Paid
O00231;Transfer;Paid
O00232;Transfer;Paid
O00233;QRIS;Failed
O00234;COD;Paid
O00235;E-Wallet;Paid
O00236;Credit Card;Paid
O00237;E-Wallet;Paid
O00238;E-Wallet;Paid
O00239;Credit Card;Paid
O00240;Credit Card;Failed
O00241;COD;Paid
O00242;COD;Paid
O00243;Transfer;Paid
O00244;Transfer;Paid
O00245;E-Wallet;Paid
O00246;QRIS;Paid
O00247;Credit Card;Paid
O00248;E-Wallet;Paid
O00249;E-Wallet;Paid
O00250;E-Wallet;Paid
O00251;E-Wallet;Failed
O00252;Credit Card;Failed
O00253;QRIS;Paid
O00254;Credit Card;Paid
O00255;Transfer;Paid
O00256;E-Wallet;Paid
O00257;COD;Paid
O00258;E-Wallet;Failed
O00259;E-Wallet;Paid
O00260;Credit Card;Paid
O00261;QRIS;Paid
O00262;QRIS;Paid
O00263;COD;Paid
O00264;Credit Card;Paid
O00265;Credit Card;Failed
O00266;Credit Card;Paid
O00267;E-Wallet;Paid
O00268;Credit Card;Failed
O00269;QRIS;Paid
O00270;E-Wallet;Paid
O00271;COD;Failed
O00272;COD;Paid
O00273;E-Wallet;Paid
O00274;COD;Paid
O00275;Transfer;Paid
O00276;E-Wallet;Failed
O00277;COD;Paid
O00278;Credit Card;Paid
O00279;E-Wallet;Paid
O00280;COD;Paid
O00281;COD;Paid
O00282;COD;Paid
O00283;COD;Failed
O00284;COD;Paid
O00285;QRIS;Paid
O00286;E-Wallet;Paid
O00287;E-Wallet;Paid
O00288;Transfer;Paid
O00289;Transfer;Paid
O00290;QRIS;Paid
O00291;Transfer;Paid
O00292;Transfer;Paid
O00293;Transfer;Paid
O00294;QRIS;Paid
O00295;Credit Card;Failed
O00296;Credit Card;Paid
O00297;COD;Paid
O00298;Credit Card;Paid
O00299;COD;Failed
O00300;Transfer;Paid
O00301;COD;Paid
O00302;QRIS;Paid
O00303;Transfer;Paid
O00304;Transfer;Failed
O00305;Credit Card;Failed
O00306;COD;Paid
O00307;Credit Card;Paid
O00308;Transfer;Paid
O00309;Transfer;Paid
O00310;COD;Paid
O00311;COD;Paid
O00312;E-Wallet;Paid
O00313;COD;Paid
O00314;E-Wallet;Paid
O00315;COD;Paid
O00316;Credit Card;Paid
O00317;COD;Failed
O00318;Credit Card;Failed
O00319;Transfer;Failed
O00320;QRIS;Paid
O00321;E-Wallet;Paid
O00322;Transfer;Paid
O00323;Transfer;Paid
O00324;QRIS;Paid
O00325;Credit Card;Failed
O00326;Transfer;Failed
O00327;QRIS;Paid
O00328;COD;Paid
O00329;COD;Failed
O00330;E-Wallet;Paid
O00331;Transfer;Paid
O00332;E-Wallet;Paid
O00333;COD;Paid
O00334;E-Wallet;Paid
O00335;E-Wallet;Paid
O00336;Transfer;Paid
O00337;COD;Paid
O00338;COD;Paid
O00339;COD;Paid
O00340;E-Wallet;Paid
O00341;Credit Card;Paid
O00342;Transfer;Paid
O00343;COD;Paid
O00344;E-Wallet;Paid
O00345;COD;Paid
O00346;Transfer;Paid
O00347;Credit Card;Failed
O00348;Credit Card;Paid
O00349;E-Wallet;Failed
O00350;Credit Card;Failed
O00351;COD;Failed
O00352;Transfer;Paid
O00353;QRIS;Paid
O00354;Credit Card;Failed
O00355;COD;Paid
O00356;Credit Card;Paid
O00357;QRIS;Paid
O00358;Transfer;Paid
O00359;COD;Paid
O00360;QRIS;Paid
O00361;E-Wallet;Failed
O00362;QRIS;Failed
O00363;Credit Card;Failed
O00364;QRIS;Paid
O00365;Transfer;Paid
O00366;Transfer;Paid
O00367;COD;Paid
O00368;QRIS;Paid
O00369;QRIS;Paid
O00370;Credit Card;Paid
O00371;E-Wallet;Paid
O00372;Transfer;Paid
O00373;QRIS;Paid
O00374;Credit Card;Paid
O00375;Credit Card;Paid
O00376;E-Wallet;Paid
O00377;COD;Paid
O00378;QRIS;Paid
O00379;Credit Card;Paid
O00380;Credit Card;Paid
O00381;QRIS;Failed
O00382;QRIS;Failed
O00383;Transfer;Failed
O00384;Credit Card;Paid
O00385;QRIS;Paid
O00386;COD;Failed
O00387;E-Wallet;Failed
O00388;Credit Card;Failed
O00389;QRIS;Failed
O00390;QRIS;Paid
O00391;Credit Card;Paid
O00392;E-Wallet;Failed
O00393;Transfer;Paid
O00394;COD;Failed
O00395;Transfer;Paid
O00396;QRIS;Paid
O00397;COD;Paid
O00398;Credit Card;Paid
O00399;COD;Paid
O00400;Credit Card;Paid
O00401;Credit Card;Paid
O00402;Transfer;Paid
O00403;Credit Card;Paid
O00404;Credit Card;Paid
O00405;Credit Card;Paid
O00406;E-Wallet;Paid
O00407;QRIS;Failed
O00408;QRIS;Paid
O00409;QRIS;Paid
O00410;Transfer;Paid
O00411;E-Wallet;Paid
O00412;Transfer;Paid
O00413;Transfer;Paid
O00414;E-Wallet;Paid
O00415;COD;Failed
O00416;Credit Card;Failed
O00417;COD;Failed
O00418;COD;Paid
O00419;Transfer;Failed
O00420;COD;Paid
O00421;Credit Card;Paid
O00422;Transfer;Paid
O00423;Transfer;Failed
O00424;E-Wallet;Paid
O00425;COD;Failed
O00426;COD;Failed
O00427;Transfer;Paid
O00428;QRIS;Paid
O00429;Credit Card;Paid
O00430;E-Wallet;Failed
O00431;QRIS;Failed
O00432;E-Wallet;Paid
O00433;Transfer;Paid
O00434;COD;Paid
O00435;E-Wallet;Paid
O00436;COD;Paid
O00437;QRIS;Failed
O00438;E-Wallet;Paid
O00439;Credit Card;Failed
O00440;E-Wallet;Paid
O00441;Credit Card;Paid
O00442;QRIS;Paid
O00443;Transfer;Paid
O00444;Transfer;Paid
O00445;Transfer;Paid
O00446;E-Wallet;Paid
O00447;E-Wallet;Failed
O00448;E-Wallet;Failed
O00449;E-Wallet;Paid
O00450;Credit Card;Failed
O00451;Credit Card;Paid
O00452;COD;Failed
O00453;E-Wallet;Failed
O00454;QRIS;Paid
O00455;QRIS;Failed
O00456;QRIS;Paid
O00457;Credit Card;Paid
O00458;E-Wallet;Paid
O00459;COD;Paid
O00460;QRIS;Failed
O00461;COD;Paid
O00462;Transfer;Paid
O00463;Credit Card;Failed
O00464;Credit Card;Paid
O00465;COD;Failed
O00466;E-Wallet;Paid
O00467;COD;Failed
O00468;E-Wallet;Paid
O00469;COD;Failed
O00470;QRIS;Failed
O00471;COD;Paid
O00472;Transfer;Paid
O00473;Transfer;Paid
O00474;QRIS;Paid
O00475;E-Wallet;Failed
O00476;Credit Card;Failed
O00477;Transfer;Failed
O00478;Credit Card;Paid
O00479;E-Wallet;Failed
O00480;QRIS;Paid
O00481;Credit Card;Paid
O00482;Credit Card;Paid
O00483;QRIS;Paid
O00484;QRIS;Failed
O00485;Credit Card;Paid
O00486;E-Wallet;Paid
O00487;Transfer;Failed
O00488;E-Wallet;Paid
O00489;Transfer;Paid
O00490;E-Wallet;Paid
O00491;E-Wallet;Paid
O00492;Credit Card;Paid
O00493;QRIS;Paid
O00494;QRIS;Paid
O00495;COD;Failed
O00496;Transfer;Paid
O00497;E-Wallet;Failed
O00498;Credit Card;Paid
O00499;E-Wallet;Paid
O00500;QRIS;Paid
O00501;Transfer;Paid
O00502;E-Wallet;Paid
O00503;COD;Failed
O00504;COD;Paid
O00505;E-Wallet;Paid
O00506;COD;Failed
O00507;COD;Failed
O00508;Transfer;Paid
O00509;COD;Paid
O00510;Credit Card;Failed
O00511;COD;Paid
O00512;Credit Card;Paid
O00513;Credit Card;Paid
O00514;QRIS;Paid
O00515;E-Wallet;Paid
O00516;E-Wallet;Paid
O00517;Transfer;Failed
O00518;E-Wallet;Failed
O00519;E-Wallet;Failed
O00520;E-Wallet;Paid
O00521;COD;Failed
O00522;E-Wallet;Paid
O00523;Credit Card;Paid
O00524;COD;Paid
O00525;QRIS;Failed
O00526;E-Wallet;Paid
O00527;QRIS;Paid
O00528;Credit Card;Paid
O00529;E-Wallet;Paid
O00530;Credit Card;Paid
O00531;Transfer;Paid
O00532;QRIS;Paid
O00533;COD;Paid
O00534;QRIS;Paid
O00535;Credit Card;Paid
O00536;E-Wallet;Paid
O00537;Credit Card;Failed
O00538;Transfer;Paid
O00539;COD;Failed
O00540;E-Wallet;Paid
O00541;QRIS;Paid
O00542;Transfer;Paid
O00543;Transfer;Paid
O00544;COD;Paid
O00545;E-Wallet;Paid
O00546;COD;Failed
O00547;Transfer;Paid
O00548;QRIS;Paid
O00549;Transfer;Paid
O00550;QRIS;Paid
O00551;Transfer;Paid
O00552;QRIS;Paid
O00553;Credit Card;Paid
O00554;E-Wallet;Paid
O00555;E-Wallet;Paid
O00556;Transfer;Paid
O00557;Transfer;Paid
O00558;Credit Card;Paid
O00559;QRIS;Failed
O00560;QRIS;Paid
O00561;E-Wallet;Paid
O00562;E-Wallet;Paid
O00563;QRIS;Paid
O00564;Credit Card;Paid
O00565;Credit Card;Paid
O00566;QRIS;Paid
O00567;Credit Card;Paid
O00568;QRIS;Paid
O00569;QRIS;Paid
O00570;QRIS;Paid
O00571;COD;Paid
O00572;Transfer;Paid
O00573;Credit Card;Failed
O00574;Transfer;Paid
O00575;Credit Card;Paid
O00576;COD;Paid
O00577;QRIS;Paid
O00578;QRIS;Paid
O00579;QRIS;Failed
O00580;Transfer;Failed
O00581;Credit Card;Paid
O00582;Transfer;Paid
O00583;Transfer;Paid
O00584;QRIS;Paid
O00585;E-Wallet;Paid
O00586;Credit Card;Paid
O00587;QRIS;Failed
O00588;E-Wallet;Paid
O00589;E-Wallet;Paid
O00590;Transfer;Failed
O00591;E-Wallet;Paid
O00592;COD;Paid
O00593;COD;Paid
O00594;Credit Card;Paid
O00595;QRIS;Failed
O00596;E-Wallet;Paid
O00597;COD;Failed
O00598;QRIS;Paid
O00599;E-Wallet;Paid
O00600;QRIS;Failed
O00601;Credit Card;Failed
O00602;COD;Paid
O00603;Credit Card;Paid
O00604;Credit Card;Failed
O00605;COD;Paid
O00606;Credit Card;Paid
O00607;E-Wallet;Paid
O00608;Transfer;Paid
O00609;Credit Card;Failed
O00610;Credit Card;Failed
O00611;Transfer;Failed
O00612;E-Wallet;Failed
O00613;Transfer;Paid
O00614;QRIS;Paid
O00615;QRIS;Paid
O00616;Transfer;Failed
O00617;Credit Card;Failed
O00618;Transfer;Paid
O00619;Transfer;Paid
O00620;COD;Paid
O00621;QRIS;Paid
O00622;QRIS;Failed
O00623;Transfer;Failed
O00624;E-Wallet;Paid
O00625;Credit Card;Failed
O00626;Transfer;Paid
O00627;Credit Card;Failed
O00628;QRIS;Paid
O00629;QRIS;Paid
O00630;E-Wallet;Paid
O00631;Credit Card;Failed
O00632;COD;Paid
O00633;E-Wallet;Paid
O00634;E-Wallet;Paid
O00635;Credit Card;Paid
O00636;Transfer;Paid
O00637;Transfer;Failed
O00638;COD;Paid
O00639;E-Wallet;Paid
O00640;Transfer;Paid
O00641;Credit Card;Paid
O00642;QRIS;Paid
O00643;Credit Card;Failed
O00644;Credit Card;Failed
O00645;COD;Paid
O00646;Credit Card;Failed
O00647;E-Wallet;Failed
O00648;Credit Card;Failed
O00649;Transfer;Paid
O00650;QRIS;Paid
O00651;Credit Card;Paid
O00652;Credit Card;Paid
O00653;COD;Paid
O00654;Transfer;Paid
O00655;COD;Paid
O00656;Transfer;Paid
O00657;E-Wallet;Paid
O00658;COD;Paid
O00659;Transfer;Failed
O00660;E-Wallet;Paid
O00661;COD;Failed
O00662;Credit Card;Paid
O00663;Credit Card;Paid
O00664;Credit Card;Paid
O00665;QRIS;Failed
O00666;E-Wallet;Paid
O00667;Transfer;Failed
O00668;Transfer;Paid
O00669;Transfer;Paid
O00670;COD;Paid
O00671;Credit Card;Paid
O00672;QRIS;Paid
O00673;E-Wallet;Failed
O00674;Transfer;Failed
O00675;COD;Failed
O00676;E-Wallet;Paid
O00677;E-Wallet;Paid
O00678;E-Wallet;Paid
O00679;E-Wallet;Paid
O00680;QRIS;Paid
O00681;Credit Card;Paid
O00682;E-Wallet;Failed
O00683;COD;Paid
O00684;COD;Paid
O00685;COD;Failed
O00686;Credit Card;Paid
O00687;Transfer;Paid
O00688;COD;Failed
O00689;COD;Paid
O00690;Transfer;Paid
O00691;Credit Card;Paid
O00692;E-Wallet;Paid
O00693;COD;Paid
O00694;Credit Card;Paid
O00695;Transfer;Paid
O00696;COD;Paid
O00697;Credit Card;Paid
O00698;Transfer;Paid
O00699;E-Wallet;Failed
O00700;COD;Paid
O00701;E-Wallet;Paid
O00702;Credit Card;Paid
O00703;E-Wallet;Failed
O00704;E-Wallet;Paid
O00705;COD;Paid
O00706;Transfer;Paid
O00707;COD;Paid
O00708;E-Wallet;Paid
O00709;Credit Card;Paid
O00710;Credit Card;Paid
O00711;QRIS;Failed
O00712;Credit Card;Failed
