Product_ID;Category;Brand;Price;Cost
P001;Laptop;Brand4;9369581;5024594
P002;Accessory;Brand17;10526627;5843678
P003;Printer;Brand1;2144104;1232943
P004;Monitor;Brand6;10536965;9207645
P005;Printer;Brand15;4957851;2712310
P006;Phone;Brand8;7776193;4576748
P007;Printer;Brand13;10729991;5377931
P008;Accessory;Brand18;13544513;12170093
P009;Printer;Brand20;4965542;2540046
P010;Phone;Brand11;3582735;2737364
P011;Printer;Brand3;7283498;6012654
P012;Laptop;Brand2;10170888;6109973
P013;Phone;Brand5;11076510;8631433
P014;Monitor;Brand5;616712;434864
P015;Phone;Brand5;7356618;5678272
P016;Printer;Brand5;1452946;1113798
P017;Phone;Brand15;8694010;5297136
P018;Phone;Brand17;5157130;4000648
P019;Printer;Brand12;8912470;6831914
P020;Printer;Brand15;5608193;3818172
P021;Monitor;Brand20;3987990;2831771
P022;Accessory;Brand4;8986467;6616836
P023;Printer;Brand2;11876993;9360552
P024;Phone;Brand10;13084733;7612123
P025;Phone;Brand7;897154;468589
P026;Printer;Brand11;14802911;11158315
P027;Printer;Brand14;14239066;9616583
P028;Laptop;Brand8;10521359;6746467
P029;Phone;Brand15;8490689;6083808
P030;Accessory;Brand12;14496638;8567709
P031;Accessory;Brand5;5888863;4851150
P032;Laptop;Brand2;2069664;1228730
P033;Accessory;Brand6;8332191;4306149
P034;Accessory;Brand2;9650299;6022474
P035;Printer;Brand9;118702;102661
P036;Printer;Brand9;2107799;1509746
P037;Laptop;Brand8;7271595;3655869
P038;Accessory;Brand3;5963760;5169416
P039;Accessory;Brand15;10049113;6254140
P040;Printer;Brand20;14300453;11222841
P041;Accessory;Brand9;9292776;6518076
P042;Printer;Brand4;13171124;7172131
P043;Monitor;Brand1;14115140;8436241
P044;Printer;Brand19;8927696;5354611
P045;Accessory;Brand20;7554496;3791870
P046;Monitor;Brand12;13847615;8929939
P047;Monitor;Brand15;8253130;7086631
P048;Phone;Brand20;3375273;2945835
P049;Monitor;Brand3;5794879;4217905
P050;Monitor;Brand10;13152961;10089321
P051;Laptop;Brand13;8323364;6052599
P052;Accessory;Brand14;9777176;7485314
P053;Monitor;Brand15;7750904;5241480
P054;Monitor;Brand12;501117;439857
P055;Accessory;Brand7;7023529;4221818
P056;Laptop;Brand16;11237541;10011247
P057;Monitor;Brand14;13964658;8604051
P058;Monitor;Brand12;7956465;6259041
P059;Printer;Brand14;14761450;12575060
P060;Accessory;Brand18;3006783;2515029
P061;Phone;Brand18;7703187;4956982
P062;Monitor;Brand19;178426;145003
P063;Printer;Brand2;1181981;745544
P064;Printer;Brand5;5305893;2776774
P065;Printer;Brand17;1898789;1138554
P066;Accessory;Brand18;12241322;10013074
P067;Printer;Brand2;9126774;6519036
P068;Monitor;Brand10;13665048;10538856
P069;Laptop;Brand10;8744586;5252709
P070;Monitor;Brand18;4226796;2741894
P071;Printer;Brand9;12774216;9523186
P072;Accessory;Brand2;1046919;912666
P073;Laptop;Brand1;13351341;9910063
P074;Printer;Brand8;1192857;1007823
P075;Monitor;Brand9;12741246;7384222
P076;Monitor;Brand8;10385424;6277433
P077;Accessory;Brand13;9266654;6306517
P078;Laptop;Brand20;11939524;9771859
P079;Monitor;Brand13;6505032;3943377
P080;Laptop;Brand1;14606939;10975254
P081;Laptop;Brand15;13025634;8524847
P082;Phone;Brand16;9232557;5229534
P083;Printer;Brand8;4140839;3281833
P084;Monitor;Brand15;11060424;5704741
P085;Laptop;Brand18;7279578;5624499
P086;Monitor;Brand12;670180;530988
P087;Accessory;Brand11;10668031;7212471
P088;Monitor;Brand14;3426381;2094907
P089;Monitor;Brand2;5461851;4302249
