Order_ID;Rating;Review_Type
O00001;4;Positive
O00002;3;Neutral
O00003;4;Positive
O00004;3;Neutral
O00005;4;Positive
O00006;5;Positive
O00007;3;Neutral
O00008;4;Positive
O00009;3;Neutral
O00010;2;Negative
O00011;1;Negative
O00012;4;Positive
O00013;5;Positive
O00014;1;Negative
O00015;4;Positive
O00016;5;Positive
O00017;5;Positive
O00018;3;Neutral
O00019;4;Positive
O00020;3;Neutral
O00021;3;Neutral
O00022;1;Negative
O00023;1;Negative
O00024;5;Positive
O00025;3;Neutral
O00026;3;Neutral
O00027;1;Negative
O00028;5;Positive
O00029;4;Positive
O00030;2;Negative
O00031;4;Positive
O00032;4;Positive
O00033;5;Positive
O00034;3;Neutral
O00035;5;Positive
O00036;2;Negative
O00037;4;Positive
O00038;3;Neutral
O00039;2;Negative
O00040;4;Positive
O00041;4;Positive
O00042;5;Positive
O00043;2;Negative
O00044;3;Neutral
O00045;1;Negative
O00046;4;Positive
O00047;5;Positive
O00048;4;Positive
O00049;5;Positive
O00050;1;Negative
O00051;4;Positive
O00052;2;Negative
O00053;4;Positive
O00054;5;Positive
O00055;3;Neutral
O00056;2;Negative
O00057;5;Positive
O00058;1;Negative
O00059;4;Positive
O00060;5;Positive
O00061;5;Positive
O00062;5;Positive
O00063;5;Positive
O00064;3;Neutral
O00065;3;Neutral
O00066;1;Negative
O00067;5;Positive
O00068;4;Positive
O00069;1;Negative
O00070;2;Negative
O00071;1;Negative
O00072;3;Neutral
O00073;1;Negative
O00074;1;Negative
O00075;1;Negative
O00076;1;Negative
O00077;3;Neutral
O00078;5;Positive
O00079;2;Negative
O00080;5;Positive
O00081;2;Negative
O00082;3;Neutral
O00083;3;Neutral
O00084;4;Positive
O00085;1;Negative
O00086;2;Negative
O00087;3;Neutral
O00088;2;Negative
O00089;5;Positive
O00090;3;Neutral
O00091;5;Positive
O00092;1;Negative
O00093;4;Positive
O00094;1;Negative
O00095;5;Positive
O00096;5;Positive
O00097;4;Positive
O00098;4;Positive
O00099;3;Neutral
O00100;1;Negative
O00101;4;Positive
O00102;1;Negative
O00103;4;Positive
O00104;1;Negative
O00105;1;Negative
O00106;2;Negative
O00107;5;Positive
O00108;3;Neutral
O00109;3;Neutral
O00110;2;Negative
O00111;1;Negative
O00112;5;Positive
O00113;5;Positive
O00114;5;Positive
O00115;2;Negative
O00116;4;Positive
O00117;2;Negative
O00118;2;Negative
O00119;4;Positive
O00120;4;Positive
O00121;1;Negative
O00122;1;Negative
O00123;1;Negative
O00124;5;Positive
O00125;1;Negative
O00126;1;Negative
O00127;4;Positive
O00128;4;Positive
O00129;5;Positive
O00130;1;Negative
O00131;4;Positive
O00132;1;Negative
O00133;4;Positive
O00134;3;Neutral
O00135;4;Positive
O00136;4;Positive
O00137;1;Negative
O00138;3;Neutral
O00139;3;Neutral
O00140;4;Positive
O00141;5;Positive
O00142;4;Positive
O00143;2;Negative
O00144;2;Negative
O00145;4;Positive
O00146;3;Neutral
O00147;4;Positive
O00148;5;Positive
O00149;3;Neutral
O00150;4;Positive
O00151;3;Neutral
O00152;2;Negative
O00153;4;Positive
O00154;4;Positive
O00155;5;Positive
O00156;1;Negative
O00157;3;Neutral
O00158;4;Positive
O00159;2;Negative
O00160;2;Negative
O00161;3;Neutral
O00162;2;Negative
O00163;4;Positive
O00164;1;Negative
O00165;3;Neutral
O00166;5;Positive
O00167;1;Negative
O00168;4;Positive
O00169;4;Positive
O00170;1;Negative
O00171;5;Positive
O00172;1;Negative
O00173;4;Positive
O00174;2;Negative
O00175;1;Negative
O00176;4;Positive
O00177;4;Positive
O00178;3;Neutral
O00179;3;Neutral
O00180;4;Positive
O00181;1;Negative
O00182;2;Negative
O00183;1;Negative
O00184;4;Positive
O00185;4;Positive
O00186;5;Positive
O00187;2;Negative
O00188;2;Negative
O00189;4;Positive
O00190;3;Neutral
O00191;1;Negative
O00192;1;Negative
O00193;5;Positive
O00194;1;Negative
O00195;5;Positive
O00196;5;Positive
O00197;5;Positive
O00198;5;Positive
O00199;1;Negative
O00200;4;Positive
O00201;1;Negative
O00202;3;Neutral
O00203;4;Positive
O00204;2;Negative
