Order_ID;Courier;Shipping_Days;Status
O00001;JNE;8;Delivered
O00002;JNE;2;Delivered
O00003;J&T;6;Delivered
O00004;J&T;10;Delivered
O00005;AnterAja;9;Delivered
O00006;J&T;1;Delivered
O00007;AnterAja;3;Delivered
O00008;AnterAja;7;Delivered
O00009;SiCepat;10;Delivered
O00010;J&T;3;Delivered
O00011;AnterAja;8;Delivered
O00012;JNE;8;Delivered
O00013;SiCepat;1;Delivered
O00014;JNE;3;Delivered
O00015;SiCepat;1;Delivered
O00016;SiCepat;6;Delivered
O00017;J&T;9;Returned
O00018;J&T;1;Late
O00019;AnterAja;8;Delivered
O00020;JNE;6;Delivered
O00021;AnterAja;1;Delivered
O00022;SiCepat;7;Delivered
O00023;J&T;9;Delivered
O00024;JNE;10;Delivered
O00025;SiCepat;6;Delivered
O00026;SiCepat;2;Delivered
O00027;JNE;7;Delivered
O00028;JNE;8;Delivered
O00029;JNE;9;Delivered
O00030;SiCepat;6;Delivered
O00031;SiCepat;2;Delivered
O00032;SiCepat;7;Late
O00033;SiCepat;3;Delivered
O00034;J&T;7;Delivered
O00035;AnterAja;1;Delivered
O00036;JNE;8;Delivered
O00037;J&T;6;Delivered
O00038;JNE;4;Cancelled
O00039;SiCepat;10;Delivered
O00040;J&T;5;Delivered
O00041;J&T;8;Delivered
O00042;AnterAja;3;Delivered
O00043;J&T;2;Delivered
O00044;JNE;10;Delivered
O00045;JNE;4;Delivered
O00046;J&T;2;Delivered
O00047;AnterAja;9;Delivered
O00048;SiCepat;4;Delivered
O00049;JNE;3;Delivered
O00050;AnterAja;8;Delivered
O00051;JNE;10;Delivered
O00052;JNE;5;Delivered
O00053;JNE;4;Delivered
O00054;J&T;4;Delivered
O00055;AnterAja;10;Late
O00056;SiCepat;2;Delivered
O00057;AnterAja;2;Delivered
O00058;J&T;2;Delivered
O00059;SiCepat;9;Delivered
O00060;J&T;8;Late
O00061;AnterAja;10;Late
O00062;J&T;8;Delivered
O00063;AnterAja;2;Late
O00064;JNE;2;Delivered
O00065;JNE;4;Delivered
O00066;AnterAja;4;Delivered
O00067;AnterAja;6;Delivered
O00068;AnterAja;1;Delivered
O00069;AnterAja;10;Delivered
O00070;AnterAja;7;Delivered
O00071;JNE;8;Delivered
O00072;J&T;2;Delivered
O00073;JNE;4;Delivered
O00074;JNE;7;Delivered
O00075;SiCepat;1;Delivered
O00076;J&T;2;Delivered
O00077;SiCepat;2;Returned
O00078;JNE;2;Delivered
O00079;J&T;6;Delivered
O00080;JNE;2;Delivered
O00081;JNE;1;Delivered
O00082;AnterAja;10;Delivered
O00083;SiCepat;8;Delivered
O00084;JNE;9;Delivered
O00085;SiCepat;10;Delivered
O00086;SiCepat;10;Late
O00087;JNE;8;Delivered
O00088;JNE;10;Delivered
O00089;SiCepat;8;Delivered
O00090;AnterAja;4;Late
O00091;J&T;5;Delivered
O00092;J&T;6;Delivered
O00093;SiCepat;8;Delivered
O00094;JNE;4;Delivered
O00095;JNE;5;Delivered
O00096;J&T;4;Delivered
O00097;J&T;10;Delivered
O00098;J&T;1;Delivered
O00099;JNE;1;Delivered
O00100;J&T;5;Delivered
O00101;SiCepat;9;Delivered
O00102;JNE;4;Delivered
O00103;SiCepat;7;Delivered
O00104;SiCepat;7;Delivered
O00105;AnterAja;5;Delivered
O00106;J&T;6;Delivered
O00107;AnterAja;10;Delivered
O00108;JNE;7;Delivered
O00109;AnterAja;1;Delivered
O00110;JNE;2;Delivered
O00111;AnterAja;10;Delivered
O00112;JNE;1;Delivered
O00113;AnterAja;10;Returned
O00114;JNE;5;Delivered
O00115;AnterAja;6;Delivered
O00116;JNE;10;Delivered
O00117;J&T;5;Delivered
O00118;SiCepat;1;Delivered
O00119;J&T;9;Delivered
O00120;J&T;3;Delivered
O00121;JNE;8;Late
O00122;AnterAja;7;Delivered
O00123;AnterAja;1;Delivered
O00124;JNE;7;Delivered
O00125;SiCepat;10;Late
O00126;SiCepat;6;Delivered
O00127;JNE;4;Delivered
O00128;SiCepat;10;Late
O00129;JNE;4;Delivered
O00130;J&T;10;Delivered
O00131;JNE;7;Returned
O00132;SiCepat;3;Delivered
O00133;SiCepat;9;Delivered
O00134;AnterAja;4;Delivered
O00135;AnterAja;4;Delivered
O00136;SiCepat;4;Delivered
O00137;SiCepat;6;Delivered
O00138;JNE;5;Late
O00139;JNE;4;Delivered
O00140;AnterAja;8;Delivered
O00141;JNE;1;Late
O00142;J&T;5;Delivered
O00143;JNE;5;Delivered
O00144;J&T;7;Late
O00145;AnterAja;10;Delivered
O00146;SiCepat;10;Delivered
O00147;JNE;6;Delivered
O00148;AnterAja;10;Delivered
O00149;JNE;2;Late
O00150;SiCepat;9;Delivered
O00151;SiCepat;7;Delivered
O00152;AnterAja;8;Delivered
O00153;JNE;7;Delivered
O00154;SiCepat;2;Delivered
O00155;JNE;8;Delivered
O00156;J&T;10;Delivered
O00157;J&T;9;Returned
O00158;JNE;7;Late
O00159;AnterAja;1;Cancelled
O00160;AnterAja;8;Delivered
O00161;AnterAja;6;Delivered
O00162;SiCepat;4;Delivered
O00163;J&T;8;Delivered
O00164;SiCepat;6;Delivered
O00165;J&T;8;Delivered
O00166;JNE;5;Delivered
O00167;SiCepat;10;Delivered
O00168;J&T;9;Delivered
O00169;SiCepat;3;Cancelled
O00170;JNE;1;Delivered
O00171;JNE;8;Delivered
O00172;J&T;3;Late
O00173;JNE;6;Delivered
O00174;JNE;2;Delivered
O00175;AnterAja;4;Delivered
O00176;SiCepat;7;Delivered
O00177;AnterAja;4;Cancelled
O00178;J&T;3;Delivered
O00179;AnterAja;10;Delivered
O00180;AnterAja;10;Delivered
O00181;SiCepat;9;Delivered
